Name,Position,Total Pass,Accurate Pass,Total Long Balls,Accurate Long Balls,Total Cross,Accurate Cross,Aerial Won,Aerial Lost,Duel Lost,Duel Won,Total Dribbles,Successful Dribbles,Big Chance Created,Big Chance Missed,Interception Won,Dribbled Past,Dispossessed,Error Lead To Shot,Total Tackle,Fouls,Was Fouled,Total Clearance,Key Pass,Shots On Target,Shots Off Target,Goal Assist,Goals,Woodwork,Saves,Punches,Save From Inside The Box,Last Man Tackle,Shots Blocked,Blocked Shots,Total Keeper Sweeper,Accurate Keeper Sweeper,Touches,Total OffSide,Possession Lost Ctrl,Own Goals,MinutesPlayed,place,Team,SofaScore Rating
M. t. Stegen,G,22,21,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,1,0,90,Home,Barcelona,7.1
O. Mingueza,D,66,64,3,3,1,0,0,0,1,5,2,2,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,3,0,90,Home,Barcelona,7.4
G. Piqué,D,92,83,10,6,0,0,6,1,2,8,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,9,0,76,Home,Barcelona,7.2
S. Umtiti,D,97,90,4,2,0,0,1,0,3,5,1,1,0,0,0,0,0,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,7,0,90,Home,Barcelona,7.3
J. Alba,D,59,57,2,2,4,1,0,1,2,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,78,0,7,0,76,Home,Barcelona,7.5
F. de Jong,M,103,94,3,2,0,0,0,0,1,4,3,3,1,0,1,0,1,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,114,1,11,0,90,Home,Barcelona,7.9
M. Pjanić,M,52,46,2,0,0,0,1,0,0,5,2,2,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,7,0,45,Home,Barcelona,7.2
Pedri,M,79,72,4,4,1,0,0,1,4,7,1,1,0,0,1,1,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,12,0,90,Home,Barcelona,7.3
F. Trincão,F,39,36,0,0,0,0,0,1,6,4,6,3,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,7,0,67,Home,Barcelona,6.6
L. Messi,F,69,57,1,0,1,0,0,0,5,6,7,4,1,0,0,0,2,0,1,0,1,0,2,2,0,0,2,0,0,0,0,0,1,0,0,0,90,0,21,0,90,Home,Barcelona,9
M. Braithwaite,F,17,10,0,0,0,0,1,0,2,3,0,0,2,0,2,0,1,0,1,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,24,1,9,0,76,Home,Barcelona,7.9
I. Peña,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
Neto,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
S. Dest,D,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,14,Home,Barcelona,6.7
J. Firpo,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
C. Lenglet,D,15,13,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,14,Home,Barcelona,6.7
Matheus Fernandes,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
S. Busquets,M,22,22,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,23,Home,Barcelona,6.9
R. Puig,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
O. Dembélé,F,26,23,1,1,0,0,0,0,1,2,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,34,0,5,0,45,Home,Barcelona,6.9
A. Griezmann,F,7,6,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,14,Home,Barcelona,6.4
K. d. l. Fuente,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
E. Badia,G,33,26,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,41,0,7,0,90,Away,Elche CF,6.4
A. Barragán,D,39,34,2,1,1,0,0,1,2,1,0,0,0,0,4,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,6,0,90,Away,Elche CF,6.6
G. Verdú,D,53,50,4,2,0,0,0,0,3,1,0,0,0,0,2,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,63,0,3,0,90,Away,Elche CF,6.6
Josema,D,43,35,6,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,8,0,90,Away,Elche CF,6.2
M. Cifuentes,D,12,10,0,0,2,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,60,Away,Elche CF,6.5
R. Guti,M,46,43,3,2,0,0,0,0,6,1,0,0,0,0,1,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,4,0,90,Away,Elche CF,6.1
O. Mfulu,M,34,30,1,1,0,0,1,0,3,5,0,0,0,0,3,1,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,5,0,81,Away,Elche CF,6.8
J. Mojica,D,37,31,2,0,3,1,0,0,6,5,2,1,0,0,3,3,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,11,0,90,Away,Elche CF,6.5
P. Milla,F,25,21,2,2,0,0,0,2,9,2,0,0,0,0,1,2,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,1,8,0,72,Away,Elche CF,6.5
E. Rigoni,M,21,14,2,0,3,2,0,1,7,1,2,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,11,0,60,Away,Elche CF,6.3
L. Boyé,F,19,11,1,0,0,0,2,4,10,7,1,1,0,0,1,2,2,0,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,41,0,14,0,72,Away,Elche CF,6.7
P. Gazzaniga,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
L. Andreu,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
D. Calvo,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
G. Barri,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
H. Palacios,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
J. Morente,M,9,6,0,0,1,1,0,0,3,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,0,30,Away,Elche CF,6.3
Luismi,M,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,Away,Elche CF,6.6
J. Donald,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
Fidel,M,15,11,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,30,Away,Elche CF,5.9
J. C. Alamo,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
G. Carrillo,F,4,2,0,0,0,0,2,0,1,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,18,Away,Elche CF,6.8
Nino,F,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,18,Away,Elche CF,6.5
Bono,G,28,25,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,44,0,3,0,90,Home,Sevilla,7.9
J. Navas,D,47,42,8,4,6,2,1,0,1,4,3,3,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,12,0,90,Home,Sevilla,7.4
J. Koundé,D,106,102,8,6,1,0,3,0,0,6,1,1,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,8,0,90,Home,Sevilla,7.8
S. Gómez,D,98,93,13,11,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,104,0,5,0,90,Home,Sevilla,7.3
M. Acuña,D,73,62,12,5,2,0,1,2,5,7,0,0,0,0,0,0,1,0,4,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,0,19,0,88,Home,Sevilla,7
I. Rakitić,M,84,74,9,6,0,0,5,0,3,9,2,2,0,1,3,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97,0,14,0,90,Home,Sevilla,7
N. Gudelj,M,87,84,3,3,0,0,0,3,5,2,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,94,0,3,0,90,Home,Sevilla,7.2
Ó. Torres,M,59,51,12,10,1,0,0,1,9,5,3,3,0,0,0,2,4,0,2,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,75,0,15,0,90,Home,Sevilla,7.2
Suso,F,35,29,5,4,7,1,0,1,3,4,3,3,1,0,1,1,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,54,0,15,0,78,Home,Sevilla,8
Y. En-Nesyri,F,12,9,0,0,0,0,4,6,7,5,0,0,1,0,0,0,0,0,0,1,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,21,0,8,0,87,Home,Sevilla,7.7
Ó. Rodríguez,M,32,26,2,1,0,0,0,0,3,2,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,41,0,9,0,62,Home,Sevilla,7
Tomáš Vaclík,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Sevilla,0
J. Díaz,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Sevilla,0
S. Escudero,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Sevilla,0
J. Gnagnon,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Sevilla,0
K. Rekik,D,11,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,12,Home,Sevilla,6.6
F. Vázquez,M,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,8,Home,Sevilla,7.6
A. Gómez,F,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,Home,Sevilla,0
I. Romero,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Sevilla,0
L. d. Jong,F,5,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,Home,Sevilla,0
M. E. Haddadi,F,4,3,0,0,0,0,1,1,1,3,0,0,0,1,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,24,Home,Sevilla,6.5
E. Badia,G,26,18,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,1,1,37,0,8,0,90,Away,Elche CF,7.2
H. Palacios,D,30,27,3,1,0,0,0,1,3,3,0,0,0,0,2,0,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,5,0,90,Away,Elche CF,6.4
G. Verdú,D,36,30,6,3,0,0,4,3,3,5,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,7,0,90,Away,Elche CF,6.6
D. Calvo,D,33,28,8,3,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,5,0,90,Away,Elche CF,6.4
Josema,D,25,22,1,0,1,0,1,1,3,2,0,0,0,0,1,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,7,0,77,Away,Elche CF,6.7
Josan,M,11,10,0,0,5,1,0,1,6,2,2,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,11,0,69,Away,Elche CF,6.6
R. Guti,M,35,32,4,2,1,0,1,1,5,2,2,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,6,0,84,Away,Elche CF,6.5
I. Marcone,M,44,41,4,4,1,1,1,0,2,5,2,2,0,0,1,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,4,0,90,Away,Elche CF,6.8
Fidel,M,21,13,4,1,4,1,0,1,5,4,3,2,0,0,0,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,35,0,13,0,77,Away,Elche CF,6.6
G. Carrillo,F,17,11,1,1,1,0,7,3,7,7,0,0,0,1,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,29,0,13,0,69,Away,Elche CF,6.4
L. Boyé,F,19,16,0,0,0,0,1,3,8,8,2,2,0,0,2,3,2,0,3,0,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,41,0,10,0,90,Away,Elche CF,7.1
P. Gazzaniga,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
L. Andreu,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
J. Mojica,D,11,7,2,1,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,13,Away,Elche CF,6.1
D. Gonzalez,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
M. Cifuentes,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
J. Morente,M,5,4,0,0,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,21,Away,Elche CF,6.2
O. Mfulu,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
Luismi,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Elche CF,0
V. Rodríguez,M,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,Away,Elche CF,6.4
P. Piatti,M,6,5,0,0,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,13,Away,Elche CF,6.8
